StartDevice,StartPort,EndDevice,EndPort
pdu-122,48,str2-7050cx3-acs-01,PSU1
pdu-121,48,str2-7050cx3-acs-01,PSU2
pdu-121,36,str2-7050cx3-acs-02,PSU1
pdu-121,35,str2-7050cx3-acs-02,PSU2
pdu-117,32,str2-7050cx3-acs-03,PSU1
pdu-118,31,str2-7050cx3-acs-03,PSU2
pdu-120,15,str2-7050cx3-acs-06,PSU1
pdu-119,21,str2-7050cx3-acs-06,PSU2
pdu-120,17,str2-7050cx3-acs-07,PSU1
pdu-119,24,str2-7050cx3-acs-07,PSU2
pdu-120,12,str2-7050cx3-acs-08,PSU1
pdu-119,25,str2-7050cx3-acs-08,PSU2
pdu-119,16,str2-7050cx3-acs-09,PSU1
pdu-119,15,str2-7050cx3-acs-09,PSU2
pdu-120,47,str2-7050cx3-acs-10,PSU1
pdu-119,47,str2-7050cx3-acs-10,PSU2
pdu-120,37,str2-7050cx3-acs-11,PSU1
pdu-119,37,str2-7050cx3-acs-11,PSU2
pdu-125,40,str2-7050cx3-acs-12,PSU1
pdu-124,34,str2-7050cx3-acs-12,PSU2
pdu-117,24,str2-7050cx3-acs-13,PSU1
pdu-118,24,str2-7050cx3-acs-13,PSU2
pdu-117,33,str2-7050cx3-acs-14,PSU1
pdu-118,33,str2-7050cx3-acs-14,PSU2
pdu-117,26,str2-7050qx-32s-acs-01,PSU1
pdu-118,26,str2-7050qx-32s-acs-01,PSU2
pdu-122,46,str2-7050qx-32s-acs-02,PSU1
pdu-121,46,str2-7050qx-32s-acs-02,PSU2
pdu-122,39,str2-7050qx-32s-acs-03,PSU1
pdu-121,39,str2-7050qx-32s-acs-03,PSU2
pdu-110,25,str2-z9332f-02,PSU1
pdu-109,31,str2-z9332f-02,PSU2
pdu-111,44,str2-z9332f-03,PSU1
pdu-111,48,str2-z9332f-03,PSU2
pdu-111,35,str2-z9332f-05,PSU1
pdu-111,46,str2-z9332f-05,PSU2
pdu-117,29,str2-7060cx-32s-29,PSU1
pdu-118,29,str2-7060cx-32s-29,PSU2
pdu-117,38,str2-7215-acs-1,PSU1
pdu-118,38,str2-7215-acs-1,PSU2
pdu-122,23,str2-7260cx3-acs-9,PSU1
pdu-121,23,str2-7260cx3-acs-9,PSU2
pdu-114,22,str2-7260cx3-acs-10,PSU1
pdu-113,22,str2-7260cx3-acs-10,PSU2
pdu-114,20,str2-7260cx3-acs-11,PSU1
pdu-113,20,str2-7260cx3-acs-11,PSU2
pdu-123,4,str2-7260cx3-acs-12,PSU1
pdu-122,4,str2-7260cx3-acs-12,PSU2
pdu-123,13,str2-7260cx3-acs-13,PSU1
pdu-122,13,str2-7260cx3-acs-13,PSU2
pdu-84,2,str2-7260cx3-acs-36,PSU1
pdu-85,2,str2-7260cx3-acs-36,PSU2
pdu-113,37,str2-a7280cr3-3,PSU1
pdu-114,37,str2-a7280cr3-3,PSU2
pdu-113,33,str2-a7280cr3-4,PSU1
pdu-114,33,str2-a7280cr3-4,PSU2
pdu-116,16,str2-dx010-acs-6,PSU1
pdu-115,16,str2-dx010-acs-6,PSU2
pdu-117,48,str2-msn2700-spy-1,PSU1
pdu-118,48,str2-msn2700-spy-1,PSU2
pdu-117,35,str2-msn2700-spy-2,PSU1
pdu-118,35,str2-msn2700-spy-2,PSU2
pdu-120,11,str2-msn4600c-acs-01,PSU1
pdu-119,11,str2-msn4600c-acs-01,PSU2
pdu-114,44,str2-msn4600c-acs-03,PSU1
pdu-114,45,str2-msn4600c-acs-03,PSU2
pdu-114,38,str2-msn4600c-acs-04,PSU1
pdu-114,41,str2-msn4600c-acs-04,PSU2
pdu-104,6,str2-n3164-acs-1,PSU1
pdu-105,6,str2-n3164-acs-1,PSU2
pdu-113,12,str2-n3164-acs-3,PSU1
pdu-112,12,str2-n3164-acs-3,PSU2
pdu-114,5,str2-n3164-acs-4,PSU1
pdu-113,5,str2-n3164-acs-4,PSU2
pdu-120,30,str2-sn3800-02,PSU1
pdu-119,30,str2-sn3800-02,PSU2
pdu-120,24,str2-sn3800-azd,PSU1
pdu-119,44,str2-sn3800-azd,PSU2
pdu-121,26,str2-7170-azd,PSU1
pdu-122,26,str2-7170-azd,PSU2
pdu-117,39,str2-7215-acs-2,PSU1
pdu-118,39,str2-7215-acs-2,PSU2
pdu-114,35,str2-7215-acs-3,PSU1
pdu-113,35,str2-7215-acs-3,PSU2
pdu-114,36,str2-7215-acs-4,PSU1
pdu-113,36,str2-7215-acs-4,PSU2
pdu-104,8,str2-7260-26,PSU1
pdu-105,8,str2-7260-26,PSU2
pdu-117,36,str2-7260cx3-02,PSU1
pdu-118,36,str2-7260cx3-02,PSU2
pdu-116,18,str2-7260cx3-64-19,PSU1
pdu-115,18,str2-7260cx3-64-19,PSU2
pdu-120,28,str2-7260cx3-acs-8,PSU1
pdu-119,28,str2-7260cx3-acs-8,PSU2
pdu-116,33,str2-dx010-acs-7,PSU1
pdu-115,33,str2-dx010-acs-7,PSU2
pdu-120,26,str2-7260cx3-acs-fan-06,PSU1
pdu-119,26,str2-7260cx3-acs-fan-06,PSU2
pdu-117,30,str2-7260cx3-acs-fan-07,PSU1
pdu-117,31,str2-7260cx3-acs-fan-07,PSU2
pdu-112,9,str2-7260cx3-fan-08,PSU1
pdu-116,34,str2-7260cx3-fan-09,PSU1
pdu-115,34,str2-7260cx3-fan-09,PSU2
pdu-117,27,str2-7260cx3-acs-fan-09,PSU1
pdu-118,27,str2-7260cx3-acs-fan-09,PSU2
pdu-120,22,str2-7260cx3-acs-fan-10,PSU1
pdu-119,22,str2-7260cx3-acs-fan-10,PSU2
pdu-120,20,str2-7260cx3-acs-fan-11,PSU1
pdu-119,20,str2-7260cx3-acs-fan-11,PSU2
pdu-120,14,str2-7260cx3-acs-fan-12,PSU1
pdu-119,14,str2-7260cx3-acs-fan-12,PSU2
pdu-120,13,str2-7260cx3-acs-fan-13,PSU1
pdu-119,13,str2-7260cx3-acs-fan-13,PSU2
pdu-122,24,str2-7260cx3-acs-fan-14,PSU1
pdu-121,24,str2-7260cx3-acs-fan-14,PSU2
pdu-122,25,str2-7260cx3-acs-fan-15,PSU1
pdu-121,25,str2-7260cx3-acs-fan-15,PSU2
pdu-122,38,str2-7260cx3-acs-fan-17,PSU1
pdu-121,38,str2-7260cx3-acs-fan-17,PSU2
pdu-114,18,str2-7260cx3-acs-fan-18,PSU1
pdu-113,18,str2-7260cx3-acs-fan-18,PSU2
pdu-114,16,str2-7260cx3-acs-fan-19,PSU1
pdu-113,16,str2-7260cx3-acs-fan-19,PSU2
pdu-122,17,str2-7260cx3-acs-fan-20,PSU1
pdu-121,17,str2-7260cx3-acs-fan-20,PSU2
pdu-122,16,str2-7260cx3-acs-fan-21,PSU1
pdu-121,16,str2-7260cx3-acs-fan-21,PSU2
pdu-122,15,str2-7260cx3-acs-fan-22,PSU1
pdu-121,15,str2-7260cx3-acs-fan-22,PSU2
pdu-125,18,str2-7804-sup-1,PSU1
pdu-124,18,str2-7804-sup-1,PSU2
pdu-125,47,str2-7804-sup-1,PSU3
pdu-124,47,str2-7804-sup-1,PSU4
pdu-125,46,str2-7804-sup-1,PSU5
pdu-124,46,str2-7804-sup-1,PSU6
pdu-125,20,str2-7804-sup-1,PSU7
pdu-124,20,str2-7804-sup-1,PSU8
pdu-122,8,str2-7260cx3-acs-fan-23,PSU1
pdu-121,8,str2-7260cx3-acs-fan-23,PSU2
pdu-124,25,str2-7260cx3-acs-fan-35,PSU1
pdu-125,25,str2-7260cx3-acs-fan-35,PSU2
pdu-122,7,str2-7260cx3-acs-fan-24,PSU1
pdu-121,7,str2-7260cx3-acs-fan-24,PSU2
pdu-122,6,str2-7260cx3-acs-fan-25,PSU1
pdu-121,6,str2-7260cx3-acs-fan-25,PSU2
pdu-122,34,str2-7260cx3-acs-fan-26,PSU1
pdu-123,34,str2-7260cx3-acs-fan-26,PSU2
pdu-122,35,str2-7260cx3-acs-fan-27,PSU1
pdu-123,35,str2-7260cx3-acs-fan-27,PSU2
pdu-122,36,str2-7260cx3-acs-fan-28,PSU1
pdu-123,36,str2-7260cx3-acs-fan-28,PSU2
pdu-112,47,str2-7260cx3-acs-fan-29,PSU1
pdu-112,48,str2-7260cx3-acs-fan-29,PSU2
pdu-113,47,str2-7260cx3-acs-fan-30,PSU1
pdu-113,48,str2-7260cx3-acs-fan-30,PSU2
pdu-113,40,str2-7260cx3-acs-fan-31,PSU1
pdu-113,41,str2-7260cx3-acs-fan-31,PSU2
pdu-113,44,str2-7260cx3-acs-fan-32,PSU1
pdu-113,45,str2-7260cx3-acs-fan-32,PSU2
pdu-123,5,str2-7260cx3-acs-fan-33,PSU1
pdu-122,5,str2-7260cx3-acs-fan-33,PSU2
pdu-123,14,str2-7260cx3-acs-fan-34,PSU1
pdu-122,14,str2-7260cx3-acs-fan-34,PSU2
pdu-122,20,str2-8102-01,PSU1
pdu-121,20,str2-8102-01,PSU2
pdu-122,15,str2-8102-02,PSU1
pdu-121,15,str2-8102-02,PSU2
pdu-122,2,str2-8102-03,PSU1
pdu-123,2,str2-8102-03,PSU2
pdu-122,1,str2-8102-04,PSU1
pdu-123,1,str2-8102-04,PSU2
pdu-110,42,str2-8111-06,PSU1
pdu-111,42,str2-8111-06,PSU2
pdu-117,7,str2-acs-serv-16,PSU1
pdu-117,12,str2-acs-serv-18,PSU1
pdu-117,14,str2-acs-serv-19,PSU1
pdu-118,17,str2-acs-serv-20,PSU1
pdu-118,19,str2-acs-serv-21,PSU1
pdu-121,12,str2-acs-serv-24,PSU1
pdu-122,12,str2-acs-serv-25,PSU1
pdu-121,11,str2-acs-serv-26,PSU1
pdu-122,11,str2-acs-serv-27,PSU1
pdu-123,26,str2-acs-serv-28,PSU1
pdu-123,25,str2-acs-serv-29,PSU1
pdu-111,24,str2-7250-sup-1,PSU1
pdu-111,23,str2-7250-sup-1,PSU2
pdu-110,16,str2-7250-sup-1,PSU3
pdu-111,18,str2-7250-sup-1,PSU4
pdu-111,19,str2-7250-sup-1,PSU5
pdu-111,20,str2-7250-sup-1,PSU6
pdu-110,20,str2-7250-sup-2,PSU1
pdu-110,22,str2-7250-sup-2,PSU2
pdu-110,23,str2-7250-sup-2,PSU3
pdu-110,24,str2-7250-sup-2,PSU4
pdu-111,16,str2-7250-sup-2,PSU5
pdu-111,17,str2-7250-sup-2,PSU6
pdu-109,28,str2-7260cx3-d10-u19,PSU1
pdu-110,28,str2-7260cx3-d10-u19,PSU2
pdu-109,27,str2-7260cx3-d10-u21,PSU1
pdu-110,27,str2-7260cx3-d10-u21,PSU2
pdu-82,6,str2-pikez-acs-1,PSU1
pdu-82,7,str2-pikez-acs-1,PSU2
pdu-82,3,str2-7215-acs-5,PSU1
pdu-83,3,str2-7215-acs-5,PSU2
pdu-118,46,str2-bluefield-host-02,PSU1
pdu-119,18,str2-bluefield-host-02,PSU2
pdu-118,46,str2-bluefield-02,PSU1
pdu-119,18,str2-bluefield-02,PSU2
pdu-119,5,str2-bluefield-host-01,PSU1
pdu-119,17,str2-bluefield-host-01,PSU2
pdu-119,5,str2-bluefield-01,PSU1
pdu-119,17,str2-bluefield-01,PSU2
pdu-108,45,str2-8800-sup-3,PSU1
pdu-108,46,str2-8800-sup-3,PSU2
pdu-109,24,str2-8800-sup-3,PSU3
pdu-108,47,str2-8800-sup-3,PSU4
pdu-109,46,str2-8800-sup-3,PSU5
pdu-109,47,str2-8800-sup-3,PSU6
