StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
console-182,29,str5-7060x6-512-3,ssh,cisco_config,
console-182,30,str5-7060x6-512-fan-3,ssh,cisco_config,
console-182,11,str5-7060x6-512-4,ssh,cisco_config,
console-182,12,str5-7060x6-512-fan-4,ssh,cisco_config,
console-182,13,str5-7060x6-pe64-root,ssh,cisco_config,
console-182,31,str5-7060x6-512-5,ssh,cisco_config,
console-182,32,str5-7060x6-512-fan-5,ssh,cisco_config,
console-178,19,str5-7060x6-64pe-shared-fan-1,ssh,cisco_config,
console-199,45,str5-7260cx3-acs-root,ssh,cisco_config,
console-194,12,str5-sn5640-1,ssh,cisco_config,
console-194,27,str5-sn5640-fan-1,ssh,cisco_config,
console-175,29,str5-sn5640-4,ssh,cisco_config,
console-175,13,str5-sn5640-fan-4,ssh,cisco_config,
