Hostname,ManagementIp,HwSku,Type,Protocol
ixre-egl-slot3,152.148.161.113/21,Nokia-IXR7250E-36x400G,DevSonic,
ixre-egl-slot4,152.148.161.114/21,Nokia-IXR7250E-36x400G,DevSonic,
ixre-egl-slot5,152.148.161.115/21,Nokia-IXR7250E-36x400G,DevSonic,
ixre-egl-slot6,152.148.161.116/21,Nokia-IXR7250E-36x400G,DevSonic,
ixre-egl-slot7,152.148.161.117/21,Nokia-IXR7250E-36x400G,DevSonic,
ixre-egl-slot8,152.148.161.118/21,Nokia-IXR7250E-36x400G,DevSonic,


# falcon boards:
ixre-fal-board1,152.148.151.117/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board2,152.148.151.128/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board3,152.148.151.113/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board4,152.148.151.178/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board5,152.148.151.154/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board6,152.148.151.155/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board7,152.148.151.137/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board8,152.148.151.135/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board9,152.148.151.146/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-board10,152.148.151.144/21,Nokia-IXR7250E-60x100G,DevSonic,
nokia-fal-board1,152.148.151.117/21,Nokia-IXR7250E-60x100G,DevSonic,
nokia-fal-board2,152.148.151.128/21,Nokia-IXR7250E-60x100G,DevSonic,
nokia-fal-board3,152.148.151.137/21,Nokia-IXR7250E-60x100G,DevSonic,
nokia-fal-board4,152.148.151.178/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot1,152.148.201.111/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot2,152.148.201.112/21,Nokia-IXR7250E-60x100G,DevSonic,\
ixre-fal-slot3,152.148.201.113/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot4,152.148.201.114/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot5,152.148.201.115/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot6,152.148.201.116/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot7,152.148.201.117/21,Nokia-IXR7250E-60x100G,DevSonic,
ixre-fal-slot8,152.148.201.118/21,Nokia-IXR7250E-60x100G,DevSonic,


# hr boards
ixr-hr-board1,152.148.146.141/21,Nokia-IXR7250-36x400G,DevSonic,
ixr-hr-board2,152.148.146.142/21,Nokia-IXR7250-36x400G,DevSonic,
ixr-hr-board3,152.148.146.143/21,Nokia-IXR7250-36x400G,DevSonic,
ixr-hr-board4,152.148.146.144/21,Nokia-IXR7250-36x400G,DevSonic,
ixr-hr-board5,152.148.146.145/21,Nokia-IXR7250-36x400G,DevSonic,
ixr-hr-board6,152.148.146.146/21,Nokia-IXR7250-36x400G,DevSonic,

# vdk boards
ixr-vdk-board1,152.148.150.138/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board2,152.148.150.132/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board3,152.148.150.148/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board4,152.148.150.147/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board5,152.148.150.122/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board6,152.148.150.124/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board7,152.148.150.141/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board8,152.148.150.143/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board9,152.148.150.145/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board10,152.148.150.156/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board11,152.148.150.154/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board8,152.148.150.161/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,
ixr-vdk-board9,152.148.150.163/21,Nokia-IXR7250-32x100G-4x400G,DevSonic,

# sups
ixre-cpm-chassis7,152.148.151.222/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis8,152.148.151.221/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis9,152.148.151.224/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis10,152.148.150.90/21,Nokia-IXR7250E-SUP-10-r0,DevSonic,
ixre-cpm-chassis11,152.148.151.224/21,Nokia-IXR7250E-SUP-10-r0,DevSonic,
nokia-sup-chassis2,152.148.150.85/21,Nokia-IXR7250E-SUP-10-r0,DevSonic,
