StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
str5-7060x6-pe64-root,Ethernet3/1,str5-7060x6-512-fan-3,Ethernet496,800000,100-613,Trunk,off
str5-7060x6-pe64-root,Ethernet4/1,str5-7060x6-512-fan-4,Ethernet496,800000,614-1103,Trunk,off
str5-7060x6-pe64-root,Ethernet5/1,str5-7060x6-512-fan-5,Ethernet496,800000,,Trunk,off
str5-7060x6-pe64-root,Ethernet10/1,str4-7060x6-64pe-fan-share-1,Ethernet487,800000,,Trunk,off
str5-7060x6-pe64-root,Ethernet21/1,str5-SN5640-1,Ethernet496,800000,,Trunk,off
str5-7060x6-pe64-root,Ethernet41/1,str5-acs-serv-91,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet51/1,str5-acs-serv-91,ens4f1,100000,"100-613",Trunk,off
str5-7060x6-pe64-root,Ethernet42/1,str5-acs-serv-92,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet52/1,str5-acs-serv-92,ens4f1,100000,"614-1103",Trunk,off
str5-7060x6-pe64-root,Ethernet43/1,str5-acs-serv-93,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet53/1,str5-acs-serv-93,ens4f1,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet44/1,str5-acs-serv-94,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet54/1,str5-acs-serv-94,ens4f1,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet45/1,str5-acs-serv-95,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet55/1,str5-acs-serv-95,ens4f1,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet46/1,str5-acs-serv-96,ens4f0,100000,"",Trunk,off
str5-7060x6-pe64-root,Ethernet56/1,str5-acs-serv-96,ens4f1,100000,"",Trunk,off
str5-7060x6-512-3,Ethernet0,str5-7060x6-512-fan-3,Ethernet0,100000,100,Access,off
str5-7060x6-512-3,Ethernet1,str5-7060x6-512-fan-3,Ethernet1,100000,101,Access,off
str5-7060x6-512-3,Ethernet2,str5-7060x6-512-fan-3,Ethernet2,100000,102,Access,off
str5-7060x6-512-3,Ethernet3,str5-7060x6-512-fan-3,Ethernet3,100000,103,Access,off
str5-7060x6-512-3,Ethernet4,str5-7060x6-512-fan-3,Ethernet4,100000,104,Access,off
str5-7060x6-512-3,Ethernet5,str5-7060x6-512-fan-3,Ethernet5,100000,105,Access,off
str5-7060x6-512-3,Ethernet6,str5-7060x6-512-fan-3,Ethernet6,100000,106,Access,off
str5-7060x6-512-3,Ethernet7,str5-7060x6-512-fan-3,Ethernet7,100000,107,Access,off
str5-7060x6-512-3,Ethernet8,str5-7060x6-512-fan-3,Ethernet8,100000,108,Access,off
str5-7060x6-512-3,Ethernet9,str5-7060x6-512-fan-3,Ethernet9,100000,109,Access,off
str5-7060x6-512-3,Ethernet10,str5-7060x6-512-fan-3,Ethernet10,100000,110,Access,off
str5-7060x6-512-3,Ethernet11,str5-7060x6-512-fan-3,Ethernet11,100000,111,Access,off
str5-7060x6-512-3,Ethernet12,str5-7060x6-512-fan-3,Ethernet12,100000,112,Access,off
str5-7060x6-512-3,Ethernet13,str5-7060x6-512-fan-3,Ethernet13,100000,113,Access,off
str5-7060x6-512-3,Ethernet14,str5-7060x6-512-fan-3,Ethernet14,100000,114,Access,off
str5-7060x6-512-3,Ethernet15,str5-7060x6-512-fan-3,Ethernet15,100000,115,Access,off
str5-7060x6-512-3,Ethernet16,str5-7060x6-512-fan-3,Ethernet16,100000,116,Access,off
str5-7060x6-512-3,Ethernet17,str5-7060x6-512-fan-3,Ethernet17,100000,117,Access,off
str5-7060x6-512-3,Ethernet18,str5-7060x6-512-fan-3,Ethernet18,100000,118,Access,off
