Hostname,ManagementIp,HwSku,Type,Protocol
str43-C93180YC-C13-U25,10.64.246.176,N9K-C93180YC-EX V01,,
STR-IXIA-UHD400-C19-U36,10.64.246.177,UHD400T,,
