StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode

str2-7260cx3-acs-root02,Ethernet3/1,str2-acs-serv-16,eno2,100000,,Trunk
str2-7260cx3-acs-root02,Ethernet4/1,str2-acs-serv-17,enp59s0f1,100000,,Trunk
str2-7260cx3-acs-root02,Ethernet5/1,str2-acs-serv-18,enp59s0f1,100000,,Trunk
str2-7260cx3-acs-root02,Ethernet6/1,str2-acs-serv-19,enp59s0f1,100000,,Trunk
str2-7260cx3-acs-root02,Ethernet7/1,str2-acs-serv-20,enp59s0f1,100000,,Trunk
str2-7260cx3-acs-root02,Ethernet12/1,str2-7260cx3-acs-8,Ethernet64/1,100000,"249-351,481-598",Trunk
str2-7260cx3-acs-root02,Ethernet13/1,str2-7260cx3-acs-fan-06,Ethernet64/1,100000,"217-248,352,401,465,599-600,2716,2748",Trunk
str2-7260cx3-acs-root02,Ethernet11/1,str2-7260cx3-fan-08,Ethernet64/1,100000,"353-400,402-416",Trunk
str2-7260cx3-acs-root02,Ethernet10/1,str2-7260cx3-fan-07,Ethernet64/1,100000,"417-464,466-480",Trunk
str2-7260cx3-acs-root02,Ethernet64/1,str2-dx010-acs-2,etp32,100000,"201-216",Trunk
str2-7260cx3-acs-root02,Ethernet14/1,str2-7263CX3-azd-01,Ethernet32/1,100000,"3000-3031",Trunk
str2-7260cx3-acs-root02,Ethernet18/1,str2-7260cx3-acs-fan-07,Ethernet64/1,100000,"2121-2152,2717-2747",Trunk
str2-7260cx3-acs-root02,Ethernet63/1,str2-7260cx3-acs-fan-08,Ethernet64/1,100000,"249-280,2685-2715",Trunk
str2-7260cx3-acs-root02,Ethernet34/1,str2-7260cx3-64-19,Ethernet64/1,100000,"2217-2248",Trunk
str2-7260cx3-acs-root02,Ethernet17/1,str2-7260cx3-acs-fan-09,Ethernet64/1,100000,"2877-2908",Trunk
str2-7260cx3-acs-root02,Ethernet30/1,str2-7260cx3-acs-fan-10,Ethernet64/1,100000,"2749-2776,2781-2812",Trunk
str2-7260cx3-acs-root02,Ethernet62/1,str2-7260cx3-acs-fan-11,Ethernet64/1,100000,"2777-2780,2937-2959,3215,3216-3271",Trunk
str2-7260cx3-acs-root02,Ethernet61/1,str2-7260cx3-acs-fan-12,Ethernet64/1,100000,"2909-2936,3272-3327",Trunk
str2-7260cx3-acs-root02,Ethernet21/1,str2-7260cx3-acs-fan-13,Ethernet64/1,100000,"2960-2972,3144-3151",Trunk
str2-7260cx3-acs-root02,Ethernet31/1,str2-7260cx3-acs-fan-14,Ethernet64/1,100000,"3032-3143",Trunk
str2-7260cx3-acs-root02,Ethernet20/1,str2-7260-26,Ethernet64/1,100000,"3152-3214",Trunk
str2-msn2700-spy-1,Ethernet0,str2-dx010-acs-2,etp1,100000,201,Access
str2-msn2700-spy-1,Ethernet4,str2-dx010-acs-2,etp2,100000,202,Access
str2-msn2700-spy-1,Ethernet8,str2-dx010-acs-2,etp3,100000,203,Access
str2-msn2700-spy-1,Ethernet12,str2-dx010-acs-2,etp4,100000,204,Access
str2-msn2700-spy-1,Ethernet16,str2-msn2700-spy-2,Ethernet32,100000,,Access
str2-msn2700-spy-1,Ethernet20,str2-msn2700-spy-2,Ethernet36,100000,,Access
str2-msn2700-spy-1,Ethernet24,str2-msn2700-spy-2,Ethernet40,100000,,Access
str2-msn2700-spy-1,Ethernet28,str2-msn2700-spy-2,Ethernet44,100000,,Access
str2-msn2700-spy-1,Ethernet32,str2-a7060-spy-2,Ethernet16,100000,,Access
str2-msn2700-spy-1,Ethernet36,str2-a7060-spy-2,Ethernet20,100000,,Access
