StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy,BaudRate
bjw3-can-720dt-mc0-1,1,bjw3-can-7050c-5,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,2,bjw3-can-7050-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,3,bjw3-can-7050c-6,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,4,bjw3-can-7050-leaf-2,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,5,bjw3-can-7050c-7,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,6,bjw3-can-7050-leaf-3,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,7,bjw3-can-7050c-8,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,8,bjw3-can-7050-leaf-4,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,9,bjw3-can-7050c-9,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,10,bjw3-can-7050-leaf-5,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,11,bjw3-can-7050c-10,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-1,12,bjw3-can-7050-leaf-6,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,1,bjw3-can-720dt-mc0-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,2,bjw3-can-720dt-mc0-3,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,3,bjw3-can-7260-root-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,4,bjw3-can-7260-leaf-25,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,5,bjw3-can-7215a1d-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,6,bjw3-can-7215a1d-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,7,bjw3-can-7215a1d-2,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,8,bjw3-can-7215a1d-leaf-2,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,9,bjw3-can-7060-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,10,bjw3-can-7260-leaf-26,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,11,bjw3-can-7060-2,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,12,bjw3-can-7060-3,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,13,bjw3-can-7260-leaf-27,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,14,bjw3-can-7060-4,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,15,bjw3-can-7060-5,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,16,bjw3-can-7260-leaf-28,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,17,bjw3-can-7060-6,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,18,bjw3-can-7060-7,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,19,bjw3-can-7260-leaf-29,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-2,20,bjw3-can-7060-8,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,1,bjw3-can-7260-13,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,2,bjw3-can-7260-leaf-34,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,3,bjw3-can-7260-14,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,4,bjw3-can-7260-leaf-35,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,5,bjw3-can-7260-15,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,6,bjw3-can-7260-leaf-36,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,7,bjw3-can-7260-16,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,8,bjw3-can-7260-leaf-37,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,9,bjw3-can-ocs64-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,10,bjw3-can-7060x64-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,11,bjw3-can-ocs64-2,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,12,bjw3-can-7260-leaf-39,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,13,bjw3-can-7260-leaf-40,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,14,bjw3-can-7260-leaf-41,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,15,bjw3-can-7260-leaf-42,ssh,sonic_config,sonicadmin,9600
bjw3-can-720dt-mc0-3,16,bjw3-can-7050c-11,ssh,sonic_config,sonicadmin,9600
