Hostname,ManagementIp,HwSku,Type,Protocol,Os
bjw3-can-7260-root-1,10.150.238.8/23,Arista-7260CX3-64,FanoutRoot,,
bjw3-can-7260-leaf-25,10.150.238.15/23,Arista-7260CX3,FanoutLeaf,,
bjw3-can-7050-leaf-1,10.150.238.65/23,Arista-7050CX3-32S-S128,FanoutLeafSonic,,sonic
bjw3-can-7050-leaf-2,10.150.238.67/23,Arista-7050CX3-32S-C6S104,FanoutLeafSonic,,sonic
bjw3-can-7050-leaf-3,10.150.238.69/23,Arista-7050CX3-32S-C28S16,FanoutLeafSonic,,sonic
bjw3-can-7050-9,10.150.238.64/23,Arista-7050CX3-32S-S128,devsonic,,sonic
bjw3-can-7050-10,10.150.238.66/23,Arista-7050CX3-32S-C6S104,devsonic,,sonic
bjw3-can-7050-11,10.150.238.68/23,Arista-7050CX3-32S-C28S16,devsonic,,sonic
bjw3-pdu-126-62,10.150.126.62,Vertiv,Pdu,snmp,
bjw3-pdu-126-63,10.150.126.63,Vertiv,Pdu,snmp,
bjw3-pdu-126-64,10.150.126.64,Vertiv,Pdu,snmp,
bjw3-pdu-126-65,10.150.126.65,Vertiv,Pdu,snmp,
bjw3-pdu-126-68,10.150.126.68,Vertiv,Pdu,snmp,
bjw3-pdu-126-69,10.150.126.69,Vertiv,Pdu,snmp,
bjw3-pdu-126-74,10.150.126.74,Vertiv,Pdu,snmp,
bjw3-pdu-126-75,10.150.126.75,Vertiv,Pdu,snmp,
bjw3-can-serv-1,10.150.238.16/23,TestServ,Server,,
bjw3-can-serv-2,10.150.238.17/23,TestServ,Server,,
bjw3-can-serv-3,10.150.238.18/23,TestServ,Server,,
bjw3-can-serv-4,10.150.238.19/23,TestServ,Server,,
bjw3-can-serv-5,10.150.238.20/23,TestServ,Server,,
bjw3-can-720dt-mc0-1,10.150.238.10/23,Arista-720DT-G48S4,MgmtTsToRRouter,ssh,sonic
bjw3-can-720dt-mc0-2,10.150.238.11/23,Arista-720DT-G48S4,MgmtTsToRRouter,ssh,sonic
bjw3-can-720dt-mc0-3,10.150.238.12/23,Arista-720DT-G48S4,MgmtTsToRRouter,ssh,sonic
