StartDevice,StartPort,EndDevice,EndPort,EndFeed
bjw2-pdu-126-80,3,bjw2-can-8102-1,PSU1,
bjw2-pdu-126-81,3,bjw2-can-8102-1,PSU2,
bjw2-pdu-126-80,5,bjw2-can-7260-leaf-1,PSU1,
bjw2-pdu-126-81,5,bjw2-can-7260-leaf-1,PSU2,
bjw2-pdu-126-80,7,bjw2-can-8102-2,PSU1,
bjw2-pdu-126-81,7,bjw2-can-8102-2,PSU2,
bjw2-pdu-126-80,12,bjw2-can-7260-leaf-2,PSU1,
bjw2-pdu-126-81,12,bjw2-can-7260-leaf-2,PSU2,
bjw2-pdu-126-80,15,bjw2-can-8102-3,PSU1,
bjw2-pdu-126-81,15,bjw2-can-8102-3,PSU2,
bjw2-pdu-126-80,21,bjw2-can-7260-leaf-3,PSU1,
bjw2-pdu-126-81,21,bjw2-can-7260-leaf-3,PSU2,
bjw2-pdu-126-80,24,bjw2-can-8102-4,PSU1,
bjw2-pdu-126-81,24,bjw2-can-8102-4,PSU2,
bjw2-pdu-126-80,25,bjw2-can-7260-leaf-4,PSU1,
bjw2-pdu-126-81,25,bjw2-can-7260-leaf-4,PSU2,
bjw2-pdu-126-80,30,bjw2-can-8102-5,PSU1,
bjw2-pdu-126-81,30,bjw2-can-8102-5,PSU2,
bjw2-pdu-126-80,35,bjw2-can-7260-leaf-5,PSU1,
bjw2-pdu-126-81,35,bjw2-can-7260-leaf-5,PSU2,
bjw2-pdu-126-80,37,bjw2-can-8102-6,PSU1,
bjw2-pdu-126-81,37,bjw2-can-8102-6,PSU2,
bjw2-pdu-126-80,41,bjw2-can-7260-leaf-6,PSU1,
bjw2-pdu-126-81,41,bjw2-can-7260-leaf-6,PSU2,
bjw2-pdu-126-82,3,bjw2-can-4600c-1,PSU1,
bjw2-pdu-126-83,3,bjw2-can-4600c-1,PSU2,
bjw2-pdu-126-82,5,bjw2-can-7260-leaf-7,PSU1,
bjw2-pdu-126-83,5,bjw2-can-7260-leaf-7,PSU2,
bjw2-pdu-126-82,7,bjw2-can-4600c-2,PSU1,
bjw2-pdu-126-83,7,bjw2-can-4600c-2,PSU2,
bjw2-pdu-126-82,11,bjw2-can-7260-leaf-8,PSU1,
bjw2-pdu-126-83,11,bjw2-can-7260-leaf-8,PSU2,
bjw2-pdu-126-82,13,bjw2-can-4600c-3,PSU1,
bjw2-pdu-126-83,13,bjw2-can-4600c-3,PSU2,
bjw2-pdu-126-82,18,bjw2-can-7260-leaf-9,PSU1,
bjw2-pdu-126-83,18,bjw2-can-7260-leaf-9,PSU2,
bjw2-pdu-126-82,23,bjw2-can-4600c-4,PSU1,
bjw2-pdu-126-83,23,bjw2-can-4600c-4,PSU2,
bjw2-pdu-126-82,25,bjw2-can-7260-leaf-10,PSU1,
bjw2-pdu-126-83,25,bjw2-can-7260-leaf-10,PSU2,
bjw2-pdu-126-82,30,bjw2-can-4600c-5,PSU1,
bjw2-pdu-126-83,30,bjw2-can-4600c-5,PSU2,
bjw2-pdu-126-82,33,bjw2-can-7260-leaf-11,PSU1,
bjw2-pdu-126-83,33,bjw2-can-7260-leaf-11,PSU2,
bjw2-pdu-126-82,36,bjw2-can-4600c-6,PSU1,
bjw2-pdu-126-83,36,bjw2-can-4600c-6,PSU2,
bjw2-pdu-126-82,41,bjw2-can-7260-leaf-12,PSU1,
bjw2-pdu-126-83,41,bjw2-can-7260-leaf-12,PSU2,
bjw2-pdu-126-84,3,bjw2-can-7260-1,PSU1,
bjw2-pdu-126-85,3,bjw2-can-7260-1,PSU2,
bjw2-pdu-126-84,5,bjw2-can-7260-leaf-13,PSU1,
bjw2-pdu-126-85,5,bjw2-can-7260-leaf-13,PSU2,
bjw2-pdu-126-84,7,bjw2-can-7260-2,PSU1,
bjw2-pdu-126-85,7,bjw2-can-7260-2,PSU2,
bjw2-pdu-126-84,11,bjw2-can-7260-leaf-14,PSU1,
bjw2-pdu-126-85,11,bjw2-can-7260-leaf-14,PSU2,
bjw2-pdu-126-84,13,bjw2-can-7260-3,PSU1,
bjw2-pdu-126-85,13,bjw2-can-7260-3,PSU2,
bjw2-pdu-126-84,19,bjw2-can-7260-leaf-15,PSU1,
bjw2-pdu-126-85,19,bjw2-can-7260-leaf-15,PSU2,
bjw2-pdu-126-84,23,bjw2-can-7260-4,PSU1,
bjw2-pdu-126-85,23,bjw2-can-7260-4,PSU2,
bjw2-pdu-126-84,25,bjw2-can-7260-leaf-16,PSU1,
bjw2-pdu-126-85,25,bjw2-can-7260-leaf-16,PSU2,
bjw2-pdu-126-84,29,bjw2-can-7260-5,PSU1,
bjw2-pdu-126-85,29,bjw2-can-7260-5,PSU2,
bjw2-pdu-126-84,35,bjw2-can-7260-leaf-17,PSU1,
bjw2-pdu-126-85,35,bjw2-can-7260-leaf-17,PSU2,
bjw2-pdu-126-84,37,bjw2-can-7260-6,PSU1,
bjw2-pdu-126-85,37,bjw2-can-7260-6,PSU2,
bjw2-pdu-126-84,41,bjw2-can-7260-leaf-18,PSU1,
bjw2-pdu-126-85,41,bjw2-can-7260-leaf-18,PSU2,
bjw2-pdu-126-88,5,bjw2-can-7215-1,PSU1,
bjw2-pdu-126-89,5,bjw2-can-7215-1,PSU2,
bjw2-pdu-126-90,9,bjw2-can-720dt-leaf-1,PSU1,
bjw2-pdu-126-88,6,bjw2-can-720dt-leaf-1,PSU2,
bjw2-pdu-126-88,9,bjw2-can-7215-2,PSU1,
bjw2-pdu-126-89,9,bjw2-can-7215-2,PSU2,
bjw2-pdu-126-90,11,bjw2-can-720dt-leaf-2,PSU1,
bjw2-pdu-126-88,7,bjw2-can-720dt-leaf-2,PSU2,
bjw2-pdu-126-88,11,bjw2-can-7215-3,PSU1,
bjw2-pdu-126-89,11,bjw2-can-7215-3,PSU2,
bjw2-pdu-126-91,11,bjw2-can-720dt-leaf-3,PSU1,
bjw2-pdu-126-89,6,bjw2-can-720dt-leaf-3,PSU2,
bjw2-pdu-126-88,13,bjw2-can-7215-4,PSU1,
bjw2-pdu-126-89,13,bjw2-can-7215-4,PSU2,
bjw2-pdu-126-91,20,bjw2-can-720dt-leaf-4,PSU1,
bjw2-pdu-126-88,20,bjw2-can-720dt-leaf-4,PSU2,
bjw2-pdu-126-88,15,bjw2-can-7215-5,PSU1,
bjw2-pdu-126-89,15,bjw2-can-7215-5,PSU2,
bjw2-pdu-126-91,18,bjw2-can-720dt-leaf-5,PSU1,
bjw2-pdu-126-89,17,bjw2-can-720dt-leaf-5,PSU2,
bjw2-pdu-126-88,12,bjw2-can-7215-6,PSU1,
bjw2-pdu-126-89,12,bjw2-can-7215-6,PSU2,
bjw2-pdu-126-91,22,bjw2-can-720dt-leaf-6,PSU1,
bjw2-pdu-126-89,18,bjw2-can-720dt-leaf-6,PSU2,
bjw2-pdu-126-88,19,bjw2-can-7215-7,PSU1,
bjw2-pdu-126-89,19,bjw2-can-7215-7,PSU2,
bjw2-pdu-126-91,23,bjw2-can-720dt-leaf-7,PSU1,
bjw2-pdu-126-89,20,bjw2-can-720dt-leaf-7,PSU2,
bjw2-pdu-126-88,23,bjw2-can-7215-8,PSU1,
bjw2-pdu-126-89,23,bjw2-can-7215-8,PSU2,
bjw2-pdu-126-90,18,bjw2-can-720dt-leaf-8,PSU1,
bjw2-pdu-126-88,22,bjw2-can-720dt-leaf-8,PSU2,
bjw2-pdu-126-90,20,bjw2-can-720dt-1,PSU1,
bjw2-pdu-126-88,21,bjw2-can-720dt-1,PSU2,
bjw2-pdu-126-90,22,bjw2-can-720dt-leaf-9,PSU1,
bjw2-pdu-126-88,24,bjw2-can-720dt-leaf-9,PSU2,
bjw2-pdu-126-90,23,bjw2-can-720dt-2,PSU1,
bjw2-pdu-126-88,25,bjw2-can-720dt-2,PSU2,
bjw2-pdu-126-90,27,bjw2-can-720dt-leaf-10,PSU1,
bjw2-pdu-126-88,27,bjw2-can-720dt-leaf-10,PSU2,
bjw2-pdu-126-91,29,bjw2-can-720dt-3,PSU1,
bjw2-pdu-126-88,33,bjw2-can-720dt-3,PSU2,
bjw2-pdu-126-90,29,bjw2-can-720dt-leaf-11,PSU1,
bjw2-pdu-126-88,31,bjw2-can-720dt-leaf-11,PSU2,
bjw2-pdu-126-91,27,bjw2-can-720dt-4,PSU1,
bjw2-pdu-126-89,31,bjw2-can-720dt-4,PSU2,
bjw2-pdu-126-90,30,bjw2-can-720dt-leaf-12,PSU1,
bjw2-pdu-126-88,29,bjw2-can-720dt-leaf-12,PSU2,
bjw2-pdu-126-90,31,bjw2-can-720dt-5,PSU1,
bjw2-pdu-126-88,37,bjw2-can-720dt-5,PSU2,
bjw2-pdu-126-90,33,bjw2-can-720dt-leaf-13,PSU1,
bjw2-pdu-126-89,39,bjw2-can-720dt-leaf-13,PSU2,
bjw2-pdu-126-90,35,bjw2-can-720dt-6,PSU1,
bjw2-pdu-126-89,36,bjw2-can-720dt-6,PSU2,
bjw2-pdu-126-90,36,bjw2-can-720dt-leaf-14,PSU1,
bjw2-pdu-126-89,37,bjw2-can-720dt-leaf-14,PSU2,
bjw2-pdu-126-90,37,bjw2-can-720dt-7,PSU1,
bjw2-pdu-126-88,30,bjw2-can-720dt-7,PSU2,
bjw2-pdu-126-90,39,bjw2-can-720dt-leaf-15,PSU1,
bjw2-pdu-126-88,39,bjw2-can-720dt-leaf-15,PSU2,
bjw2-pdu-126-90,41,bjw2-can-720dt-8,PSU1,
bjw2-pdu-126-88,42,bjw2-can-720dt-8,PSU2,
bjw2-pdu-126-90,42,bjw2-can-720dt-leaf-16,PSU1,
bjw2-pdu-126-89,42,bjw2-can-720dt-leaf-16,PSU2,
bjw2-pdu-126-90,7,bjw2-can-7260-root-1,PSU1,
bjw2-pdu-126-91,7,bjw2-can-7260-root-1,PSU2,
bjw2-pdu-126-90,12,bjw2-can-7260-leaf-25,PSU1,
bjw2-pdu-126-91,12,bjw2-can-7260-leaf-25,PSU2,
bjw2-pdu-126-90,13,bjw2-can-serv-1,PSU1,
bjw2-pdu-126-91,13,bjw2-can-serv-1,PSU2,
bjw2-pdu-126-90,15,bjw2-can-serv-2,PSU1,
bjw2-pdu-126-91,15,bjw2-can-serv-2,PSU2,
bjw2-pdu-126-90,17,bjw2-can-serv-3,PSU1,
bjw2-pdu-126-91,17,bjw2-can-serv-3,PSU2,
bjw2-pdu-126-90,21,bjw2-can-serv-4,PSU1,
bjw2-pdu-126-91,21,bjw2-can-serv-4,PSU2,
bjw2-pdu-126-90,24,bjw2-can-serv-5,PSU1,
bjw2-pdu-126-91,24,bjw2-can-serv-5,PSU2,
bjw2-pdu-126-90,25,bjw2-can-serv-6,PSU1,
bjw2-pdu-126-91,25,bjw2-can-serv-6,PSU2,
bjw2-pdu-126-92,25,bjw2-can-serv-7,PSU1,
bjw2-pdu-126-91,30,bjw2-can-serv-7,PSU2,
bjw2-pdu-126-92,27,bjw2-can-serv-8,PSU1,
bjw2-pdu-126-91,31,bjw2-can-serv-8,PSU2,
bjw2-pdu-126-92,29,bjw2-can-serv-9,PSU1,
bjw2-pdu-126-91,33,bjw2-can-serv-9,PSU2,
bjw2-pdu-126-92,31,bjw2-can-serv-10,PSU1,
bjw2-pdu-126-91,35,bjw2-can-serv-10,PSU2,
bjw2-pdu-126-92,30,bjw2-can-7215a1-1,PSU1,
bjw2-pdu-126-93,30,bjw2-can-7215a1-1,PSU2,
bjw2-pdu-126-92,33,bjw2-can-7215a1-leaf-1,PSU1,
bjw2-pdu-126-93,33,bjw2-can-7215a1-leaf-1,PSU2,
bjw2-pdu-126-92,35,bjw2-can-7215a1-2,PSU1,
bjw2-pdu-126-93,35,bjw2-can-7215a1-2,PSU2,
bjw2-pdu-126-92,36,bjw2-can-7215a1-leaf-2,PSU1,
bjw2-pdu-126-93,36,bjw2-can-7215a1-leaf-2,PSU2,
bjw2-pdu-126-94,5,bjw2-can-8101-1,PSU1,
bjw2-pdu-126-95,5,bjw2-can-8101-1,PSU2,
bjw2-pdu-126-94,6,bjw2-can-8101-leaf-1,PSU1,
bjw2-pdu-126-95,6,bjw2-can-8101-leaf-1,PSU2,
bjw2-pdu-126-94,7,bjw2-can-8101-2,PSU1,
bjw2-pdu-126-95,7,bjw2-can-8101-2,PSU2,
bjw2-pdu-126-94,9,bjw2-can-8101-leaf-2,PSU1,
bjw2-pdu-126-95,9,bjw2-can-8101-leaf-2,PSU2,
bjw2-pdu-126-94,13,bjw2-can-8101-3,PSU1,
bjw2-pdu-126-95,13,bjw2-can-8101-3,PSU2,
bjw2-pdu-126-94,18,bjw2-can-8101-leaf-3,PSU1,
bjw2-pdu-126-95,18,bjw2-can-8101-leaf-3,PSU2,
bjw2-pdu-126-94,25,bjw2-can-8101-4,PSU1,
bjw2-pdu-126-95,25,bjw2-can-8101-4,PSU2,
bjw2-pdu-126-94,20,bjw2-can-8101-leaf-4,PSU1,
bjw2-pdu-126-95,20,bjw2-can-8101-leaf-4,PSU2,
bjw2-pdu-126-94,31,bjw2-can-8101-5,PSU1,
bjw2-pdu-126-95,31,bjw2-can-8101-5,PSU2,
bjw2-pdu-126-94,29,bjw2-can-8101-leaf-5,PSU1,
bjw2-pdu-126-95,29,bjw2-can-8101-leaf-5,PSU2,
