normalized_vendor_name,normalized_vendor_pn,fw_version,fw_binary_name,md5sum
PINEWAVE,T-OH8CNT-NMT,36.229.0,OSFP_DR8_MSFT_24E5_1_7_1_2551_EEPROM_CDB.bin,243b76d4c28ebad275f0950980dfd7f7
PINEWAVE,T-OH8CNT-NMT,36.241.0,OSFP_DR8_MSFT_24F1_1_7_1_2551_EEPROM_24E50003.bin,f1d3b0aad07235d66129e06de4c9bb66
PINEWAVE,T-OH8CNT-NMT,36.240.134,OSFP_DR8_MSFT_24F0_1_7_1_2551_EEPROM_24E50003.bin,cfad278cde55665211acbe71c465c337
